name,py-name,type,unit,ucd,description
d_PLATE_SCALE,PLATE_SCALE,float,,,
d_ODDS,ODDS,float,,,
kw_IMAGETYP,IMAGETYP,str,,meta.code;obs,The type of image; e.g. 'Light Frame' | 'Dark Frame' | 'Bias Frame' or 'Flat Frame'.
kw_DATE_OBS,DATE-OBS,str,,,Datetime string of the moment the observation was taken (in UTC). See 'obs_jd' column for the same time in Julian Days.
kw_OBJECT,OBJECT,str,,,Name of the (intended) object being observed.
kw_OBJCTRA,OBJCTRA,str,,,Estimated center right ascention coordinate of the image.
kw_OBJCTDEC,OBJCTDEC,str,,,Estimated center declination coordinate of the image.
kw_FILTER,FILTER,str,,meta.code;instr.filter,The name of the filter used in the Observation
kw_EXPSTATE,EXPSTATE,int,,,Exposure time of the observation (in seconds)
kw_EXPOSURE,EXPOSURE,float,,,Exposure time of the observation (in seconds)
kw_AIRMASS,AIRMASS,float,,,
kw_SIMPLE,SIMPLE,bool,,,
kw_BITPIX,BITPIX,int,,,
kw_NAXIS,NAXIS,int,,,
kw_NAXIS1,NAXIS1,int,,,
kw_NAXIS2,NAXIS2,int,,,
kw_BSCALE,BSCALE,float,,,
kw_BZERO,BZERO,float,,,
kw_BIAS,BIAS,int,,,
kw_FOCALLEN,FOCALLEN,float,,,
kw_APTAREA,APTAREA,float,,,
kw_APTDIA,APTDIA,float,,,
kw_TIME_OBS,TIME-OBS,str,,,
kw_SWCREATE,SWCREATE,str,,,
kw_SET_TEMP,SET-TEMP,float,,,
kw_COLORCCD,COLORCCD,int,,,
kw_DISPCOLR,DISPCOLR,int,,,
kw_CCDSFPT,CCDSFPT,int,,,
kw_XORGSUBF,XORGSUBF,int,,,
kw_YORGSUBF,YORGSUBF,int,,,
kw_CCDSUBFL,CCDSUBFL,int,,,
kw_CCDSUBFT,CCDSUBFT,int,,,
kw_XBINNING,XBINNING,int,,,
kw_CCDXBIN,CCDXBIN,int,,,
kw_YBINNING,YBINNING,int,,,
kw_CCDYBIN,CCDYBIN,int,,,
kw_CCD_TEMP,CCD-TEMP,float,,,
kw_TEMPERAT,TEMPERAT,float,,,
kw_TELTKRA,TELTKRA,float,,,
kw_TELTKDEC,TELTKDEC,float,,,
kw_CENTAZ,CENTAZ,float,,,
kw_CENTALT,CENTALT,float,,,
kw_TELHA,TELHA,str,,,
kw_LST,LST,str,,,
kw_SITELAT,SITELAT,str,,,
kw_SITELONG,SITELONG,str,,,
kw_INSTRUME,INSTRUME,str,,,
kw_EGAIN,EGAIN,float,,,
kw_E_GAIN,E-GAIN,float,,,
kw_XPIXSZ,XPIXSZ,float,,,
kw_YPIXSZ,YPIXSZ,float,,,
kw_SBIGIMG,SBIGIMG,int,,,
kw_USER_2,USER_2,str,,,
kw_DATAMAX,DATAMAX,int,,,
kw_SBSTDVER,SBSTDVER,str,,,
kw_EXPTIME,EXPTIME,float,,,
kw_CBLACK,CBLACK,int,,,
kw_CWHITE,CWHITE,int,,,
kw_CTYPE1,CTYPE1,str,,,
kw_CTYPE2,CTYPE2,str,,,
kw_EQUINOX,EQUINOX,float,,,
kw_CRVAL1,CRVAL1,float,,,
kw_CRVAL2,CRVAL2,float,,,
kw_CRPIX1,CRPIX1,float,,,
kw_CRPIX2,CRPIX2,float,,,
kw_CUNIT1,CUNIT1,str,,,
kw_CUNIT2,CUNIT2,str,,,
kw_CD1_1,CD1_1,float,,,
kw_CD1_2,CD1_2,float,,,
kw_CD2_1,CD2_1,float,,,
kw_CD2_2,CD2_2,float,,,
kw_AP_0_0,AP_0_0,float,,,
kw_AP_0_1,AP_0_1,float,,,
kw_AP_0_2,AP_0_2,float,,,
kw_AP_1_0,AP_1_0,float,,,
kw_AP_1_1,AP_1_1,float,,,
kw_AP_2_0,AP_2_0,float,,,
kw_AP_ORDER,AP_ORDER,int,,,
kw_A_0_0,A_0_0,float,,,
kw_A_0_1,A_0_1,float,,,
kw_A_0_2,A_0_2,float,,,
kw_A_1_0,A_1_0,float,,,
kw_A_1_1,A_1_1,float,,,
kw_A_2_0,A_2_0,float,,,
kw_A_ORDER,A_ORDER,int,,,
kw_BP_0_0,BP_0_0,float,,,
kw_BP_0_1,BP_0_1,float,,,
kw_BP_0_2,BP_0_2,float,,,
kw_BP_1_0,BP_1_0,float,,,
kw_BP_1_1,BP_1_1,float,,,
kw_BP_2_0,BP_2_0,float,,,
kw_BP_ORDER,BP_ORDER,int,,,
kw_B_0_0,B_0_0,float,,,
kw_B_0_1,B_0_1,float,,,
kw_B_0_2,B_0_2,float,,,
kw_B_1_0,B_1_0,float,,,
kw_B_1_1,B_1_1,float,,,
kw_B_2_0,B_2_0,float,,,
kw_B_ORDER,B_ORDER,int,,,
kw_DATE,DATE,str,,,
kw_IMAGEH,IMAGEH,int,,,
kw_IMAGEW,IMAGEW,int,,,
kw_LATPOLE,LATPOLE,float,,,
kw_LONPOLE,LONPOLE,float,,,
kw_TELESCOP,TELESCOP,str,,,
kw_WCSAXES,WCSAXES,int,,,
kw_SWMODIFY,SWMODIFY,str,,,
kw_RESMODE,RESMODE,int,,,
kw_NOTE,NOTE,str,,,
kw_TRAKTIME,TRAKTIME,float,,,
kw_PEDESTAL,PEDESTAL,int,,,
kw_SNAPSHOT,SNAPSHOT,int,,,
kw_SHRPNESS,SHRPNESS,float,,,
kw_RESPONSE,RESPONSE,float,,,
kw_SWACQUIR,SWACQUIR,str,,,
kw_OBSERVER,OBSERVER,str,,,
