name,py-name,type,unit,ucd,description,fk-column,fk-table
obs_jd,obs_jd,float,d,time.epoch;obs,Observation date and time as Julian Date (JD). Derived from 'DATE_OBS'.,,
ra,ra,float,deg,pos.eq.ra;meta.main,Right Ascention (degrees) coordinate of where the telescope is pointed. Derived from 'OBJCTRA'.,,
dec,dec,float,deg,pos.eq.dec;meta.main,Declination (degrees) coordinate of where the telescope is pointed. Derived from 'OBJCTDEC'.,,
master_bias,master_bias,int,,meta.id,Reference to the master bias used for the data reduction (indexes the Calibration table),id,calibration
master_dark,master_dark,int,,meta.id,Reference to the master dark used for the data reduction (indexes the Calibration table),id,calibration
master_flat,master_flat,int,,meta.id,Reference to the master flat used for the data reduction (indexes the Calibration table),id,calibration
raw,raw,int,,meta.id,Reference to the raw (unprocessed) file light file (indexes the raw table),id,raw
is_guided,is_guided,bool,,,,,
done_astrometry,done_astrometry,bool,,,,,
telescope,telescope,str,,,,,
filename,FILENAME,str,,meta.id;meta.file,Absolute path to the corresponding FITS file on the data server.,,
file_id,file_id,str,,meta.id,Combination of the folder date and file name to compare raw and processed files.,,
